puntuacionIMDB,ranking,sinopsis,guionistas,generos,director,anyoEstreno,enlace,titulo,duracion
8.6,21,"Two boys growing up in a violent neighborhood of Rio de Janeiro take different paths: one becomes a photographer, the other a drug dealer.","Paulo Lins,Bráulio Mantovani,O2 Filmes,VideoFilmes,Globo Filmes"," Crime, Drama","Fernando Meirelles,Kátia Lund",(2002),http://imdb.com/title/tt0317248/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_21,City of God,2h 10min
8.6,20,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee, and two droids to save the galaxy from the Empire's world-destroying battle-station, while also attempting to rescue Princess Leia from the evil Darth Vader.","George Lucas,Lucasfilm,Twentieth Century Fox"," Action, Adventure, Fantasy, Sci-Fi",George Lucas,(1977),http://imdb.com/title/tt0076759/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_20,Star Wars: Episode IV - A New Hope,2h 1min
8.6,19,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,"Akira Kurosawa,Shinobu Hashimoto,Toho Company"," Adventure, Drama",Akira Kurosawa,(1954),http://imdb.com/title/tt0047478/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_19,Seven Samurai,3h 27min
8.7,18,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,"Lilly Wachowski,Lana Wachowski,Warner Bros.,Village Roadshow Pictures,Groucho II Film Partnership"," Action, Sci-Fi","Lana Wachowski,Lilly Wachowski",(1999),http://imdb.com/title/tt0133093/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_18,The Matrix,2h 16min
8.7,17,"The story of Henry Hill and his life through the teen years into the years of mafia, covering his relationship with his wife Karen Hill and his Mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.","Nicholas Pileggi,Nicholas Pileggi,Warner Bros."," Biography, Crime, Drama",Martin Scorsese,(1990),http://imdb.com/title/tt0099685/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_17,Goodfellas,2h 26min
8.7,16,A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.,"Lawrence Hauben,Bo Goldman,Fantasy Films", Drama,Milos Forman,(1975),http://imdb.com/title/tt0073486/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_16,One Flew Over the Cuckoo's Nest,2h 13min
8.7,15,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","J.R.R. Tolkien,Fran Walsh,New Line Cinema,WingNut Films,The Saul Zaentz Company"," Adventure, Drama, Fantasy",Peter Jackson,(2002),http://imdb.com/title/tt0167261/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_15,The Lord of the Rings: The Two Towers,2h 59min
8.7,14,"A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO.","Christopher Nolan,Warner Bros.,Legendary Entertainment,Syncopy"," Action, Adventure, Sci-Fi, Thriller",Christopher Nolan,(2010),http://imdb.com/title/tt1375666/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_14,Inception,2h 28min
8.5,40,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,"Ronald Harwood,Wladyslaw Szpilman,R.P. Productions,Heritage Films,Studio Babelsberg"," Biography, Drama, Music, War",Roman Polanski,(2002),http://imdb.com/title/tt0253474/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_40,The Pianist,2h 30min
8.5,39,Archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis.,"Lawrence Kasdan,George Lucas,Paramount Pictures,Lucasfilm"," Action, Adventure",Steven Spielberg,(1981),http://imdb.com/title/tt0082971/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_39,Raiders of the Lost Ark,1h 55min
